instrument,pearson,spearman
gao_hu,0.23731139684531702,0.1456954036820519
er_hu,0.2974144249112092,0.34020655452198284
zhong_hu,0.5260906813933398,0.1726949026803186
ge_hu,-0.08391202840095817,0.011764705882352941
di_yin_ge_hu,-0.23607211417130666,-0.17058823529411765
jing_hu,0.07177818665111332,0.411764705882353
ban_hu,0.08791484292278767,0.32647058823529407
bang_di,0.047406293900275724,0.23823529411764705
qu_di,0.1440091254295633,0.05294117647058824
xin_di,0.20908209766371427,0.07211186646889438
da_di,0.3084008019264511,0.2029411764705882
gao_yin_sheng,0.2781551055948016,0.11470588235294117
zhong_yin_sheng,-0.12104191515453,0.047058823529411764
di_yin_sheng,-0.3722976941725571,-0.36176470588235293
gao_yin_suo_na,-0.005780193468577906,0.1486387451705782
zhong_yin_suo_na,0.11530028635587611,0.166298794101736
ci_zhong_yin_suo_na,-0.24518732709685268,-0.08823529411764705
di_yin_suo_na,-0.3505557754387751,-0.16764705882352943
gao_yin_guan,-0.15844633924730275,0.12518423001891144
zhong_yin_guan,-0.10113164813104841,-0.013264586578673935
di_yin_guan,-0.42497391967757836,-0.44705882352941173
bei_di_yin_guan,-0.39467922686199625,-0.15882352941176472
ba_wu,0.3458740721738791,0.21470588235294116
xun,0.11060302448030868,0.17941176470588235
xiao,0.29050083706465035,0.1264705882352941
liu_qin,0.14811866459848957,0.23841066057063037
xiao_ruan,0.1830244595744688,0.3411764705882353
pi_pa,0.1616431896931147,0.05294117647058824
yang_qin,0.0047269863811541385,0.27520242917720916
zhong_ruan,0.26388953858178493,0.3058823529411765
da_ruan,-0.12645933947458332,-0.06470588235294117
gu_zheng,0.22134046557854922,0.04120678083936822
gu_qin,0.06529563503535567,0.18823529411764706
kong_hou,0.39847929680077104,0.4621046136986292
san_xian,-0.003273167913605654,-0.03237675637378931
yun_luo,0.11010446301372176,0.04562179307215766
bian_zhong,0.15102445761742925,0.36055933234447185
